"";"Region";"aldersgruppe";"value"
"2720";"5516";"75 og eldre";151
"2721";"5518";"0-15";171
"2722";"5518";"16-24";99
"2723";"5518";"25-34";76
"2724";"5518";"35-44";85
"2725";"5518";"45-54";142
"2726";"5518";"55-64";143
"2727";"5518";"65-74";125
"2728";"5518";"75 og eldre";145
"2729";"5520";"0-15";631
"2730";"5520";"16-24";580
"2731";"5520";"25-34";567
"2732";"5520";"35-44";450
"2733";"5520";"45-54";479
"2734";"5520";"55-64";431
"2735";"5520";"65-74";426
"2736";"5520";"75 og eldre";422
"2737";"5522";"0-15";305
"2738";"5522";"16-24";242
"2739";"5522";"25-34";214
"2740";"5522";"35-44";181
"2741";"5522";"45-54";286
"2742";"5522";"55-64";303
"2743";"5522";"65-74";257
"2744";"5522";"75 og eldre";281
"2745";"5524";"0-15";1077
"2746";"5524";"16-24";863
"2747";"5524";"25-34";955
"2748";"5524";"35-44";714
"2749";"5524";"45-54";833
"2750";"5524";"55-64";824
"2751";"5524";"65-74";765
"2752";"5524";"75 og eldre";683
"2753";"5526";"0-15";605
"2754";"5526";"16-24";376
"2755";"5526";"25-34";429
"2756";"5526";"35-44";388
"2757";"5526";"45-54";458
"2758";"5526";"55-64";455
"2759";"5526";"65-74";399
"2760";"5526";"75 og eldre";375
"2761";"5528";"0-15";138
"2762";"5528";"16-24";106
"2763";"5528";"25-34";105
"2764";"5528";"35-44";96
"2765";"5528";"45-54";133
"2766";"5528";"55-64";162
"2767";"5528";"65-74";178
"2768";"5528";"75 og eldre";155
"2769";"5530";"0-15";2519
"2770";"5530";"16-24";1605
"2771";"5530";"25-34";1716
"2772";"5530";"35-44";1734
"2773";"5530";"45-54";1905
"2774";"5530";"55-64";2066
"2775";"5530";"65-74";1747
"2776";"5530";"75 og eldre";1602
"2777";"5532";"0-15";810
"2778";"5532";"16-24";571
"2779";"5532";"25-34";636
"2780";"5532";"35-44";577
"2781";"5532";"45-54";762
"2782";"5532";"55-64";820
"2783";"5532";"65-74";668
"2784";"5532";"75 og eldre";727
"2785";"5534";"0-15";288
"2786";"5534";"16-24";186
"2787";"5534";"25-34";240
"2788";"5534";"35-44";226
"2789";"5534";"45-54";268
"2790";"5534";"55-64";369
"2791";"5534";"65-74";332
"2792";"5534";"75 og eldre";328
"2793";"5536";"0-15";360
"2794";"5536";"16-24";290
"2795";"5536";"25-34";259
"2796";"5536";"35-44";262
"2797";"5536";"45-54";375
"2798";"5536";"55-64";384
"2799";"5536";"65-74";393
"2800";"5536";"75 og eldre";420
"2801";"5538";"0-15";243
"2802";"5538";"16-24";191
"2803";"5538";"25-34";194
"2804";"5538";"35-44";170
"2805";"5538";"45-54";259
"2806";"5538";"55-64";241
"2807";"5538";"65-74";298
"2808";"5538";"75 og eldre";229
"2809";"5540";"0-15";255
"2810";"5540";"16-24";190
"2811";"5540";"25-34";198
"2812";"5540";"35-44";201
"2813";"5540";"45-54";243
"2814";"5540";"55-64";284
"2815";"5540";"65-74";307
"2816";"5540";"75 og eldre";296
"2817";"5542";"0-15";477
"2818";"5542";"16-24";264
"2819";"5542";"25-34";365
"2820";"5542";"35-44";359
"2821";"5542";"45-54";361
"2822";"5542";"55-64";345
"2823";"5542";"65-74";291
"2824";"5542";"75 og eldre";332
"2825";"5544";"0-15";788
"2826";"5544";"16-24";538
"2827";"5544";"25-34";573
"2828";"5544";"35-44";513
"2829";"5544";"45-54";643
"2830";"5544";"55-64";631
"2831";"5544";"65-74";583
"2832";"5544";"75 og eldre";525
"2833";"5546";"0-15";158
"2834";"5546";"16-24";106
"2835";"5546";"25-34";128
"2836";"5546";"35-44";102
"2837";"5546";"45-54";146
"2838";"5546";"55-64";192
"2839";"5546";"65-74";157
"2840";"5546";"75 og eldre";168
"2841";"5601";"0-15";4302
"2842";"5601";"16-24";2734
"2843";"5601";"25-34";3278
"2844";"5601";"35-44";2651
"2845";"5601";"45-54";2793
"2846";"5601";"55-64";2581
"2847";"5601";"65-74";1876
"2848";"5601";"75 og eldre";1493
"2849";"5603";"0-15";1921
"2850";"5603";"16-24";1213
"2851";"5603";"25-34";1788
"2852";"5603";"35-44";1376
"2853";"5603";"45-54";1516
"2854";"5603";"55-64";1486
"2855";"5603";"65-74";1072
"2856";"5603";"75 og eldre";966
"2857";"5605";"0-15";1564
"2858";"5605";"16-24";1087
"2859";"5605";"25-34";1452
"2860";"5605";"35-44";1163
"2861";"5605";"45-54";1379
"2862";"5605";"55-64";1393
"2863";"5605";"65-74";1091
"2864";"5605";"75 og eldre";934
"2865";"5607";"0-15";889
"2866";"5607";"16-24";654
"2867";"5607";"25-34";771
"2868";"5607";"35-44";619
"2869";"5607";"45-54";808
"2870";"5607";"55-64";851
"2871";"5607";"65-74";613
"2872";"5607";"75 og eldre";602
"2873";"5610";"0-15";367
"2874";"5610";"16-24";292
"2875";"5610";"25-34";350
"2876";"5610";"35-44";263
"2877";"5610";"45-54";329
"2878";"5610";"55-64";404
"2879";"5610";"65-74";330
"2880";"5610";"75 og eldre";230
"2881";"5612";"0-15";527
"2882";"5612";"16-24";284
"2883";"5612";"25-34";335
"2884";"5612";"35-44";369
"2885";"5612";"45-54";381
"2886";"5612";"55-64";376
"2887";"5612";"65-74";329
"2888";"5612";"75 og eldre";247
"2889";"5614";"0-15";92
"2890";"5614";"16-24";66
"2891";"5614";"25-34";111
"2892";"5614";"35-44";83
"2893";"5614";"45-54";123
"2894";"5614";"55-64";131
"2895";"5614";"65-74";124
"2896";"5614";"75 og eldre";134
"2897";"5616";"0-15";139
"2898";"5616";"16-24";76
"2899";"5616";"25-34";124
"2900";"5616";"35-44";127
"2901";"5616";"45-54";147
"2902";"5616";"55-64";143
"2903";"5616";"65-74";115
"2904";"5616";"75 og eldre";108
"2905";"5618";"0-15";135
"2906";"5618";"16-24";86
"2907";"5618";"25-34";118
"2908";"5618";"35-44";147
"2909";"5618";"45-54";159
"2910";"5618";"55-64";165
"2911";"5618";"65-74";150
"2912";"5618";"75 og eldre";153
"2913";"5620";"0-15";364
"2914";"5620";"16-24";289
"2915";"5620";"25-34";419
"2916";"5620";"35-44";321
"2917";"5620";"45-54";384
"2918";"5620";"55-64";495
"2919";"5620";"65-74";372
"2920";"5620";"75 og eldre";307
"2921";"5622";"0-15";551
"2922";"5622";"16-24";413
"2923";"5622";"25-34";446
"2924";"5622";"35-44";411
"2925";"5622";"45-54";499
"2926";"5622";"55-64";616
"2927";"5622";"65-74";548
"2928";"5622";"75 og eldre";405
"2929";"5624";"0-15";152
"2930";"5624";"16-24";129
"2931";"5624";"25-34";150
"2932";"5624";"35-44";139
"2933";"5624";"45-54";160
"2934";"5624";"55-64";202
"2935";"5624";"65-74";157
"2936";"5624";"75 og eldre";126
"2937";"5626";"0-15";140
"2938";"5626";"16-24";77
"2939";"5626";"25-34";154
"2940";"5626";"35-44";137
"2941";"5626";"45-54";169
"2942";"5626";"55-64";151
"2943";"5626";"65-74";129
"2944";"5626";"75 og eldre";113
"2945";"5628";"0-15";410
"2946";"5628";"16-24";269
"2947";"5628";"25-34";316
"2948";"5628";"35-44";296
"2949";"5628";"45-54";427
"2950";"5628";"55-64";406
"2951";"5628";"65-74";374
"2952";"5628";"75 og eldre";309
"2953";"5630";"0-15";103
"2954";"5630";"16-24";71
"2955";"5630";"25-34";127
"2956";"5630";"35-44";94
"2957";"5630";"45-54";121
"2958";"5630";"55-64";148
"2959";"5630";"65-74";127
"2960";"5630";"75 og eldre";101
"2961";"5632";"0-15";309
"2962";"5632";"16-24";221
"2963";"5632";"25-34";312
"2964";"5632";"35-44";270
"2965";"5632";"45-54";293
"2966";"5632";"55-64";312
"2967";"5632";"65-74";223
"2968";"5632";"75 og eldre";173
"2969";"5634";"0-15";248
"2970";"5634";"16-24";177
"2971";"5634";"25-34";244
"2972";"5634";"35-44";212
"2973";"5634";"45-54";271
"2974";"5634";"55-64";308
"2975";"5634";"65-74";289
"2976";"5634";"75 og eldre";223
"2977";"5636";"0-15";123
"2978";"5636";"16-24";49
"2979";"5636";"25-34";88
"2980";"5636";"35-44";111
"2981";"5636";"45-54";114
"2982";"5636";"55-64";115
"2983";"5636";"65-74";132
"2984";"5636";"75 og eldre";127
