"";"Region";"aldersgruppe";"value"
"387";"1520";"25-34";1266
"388";"1520";"35-44";1370
"389";"1520";"45-54";1312
"390";"1520";"55-64";1351
"391";"1520";"65-74";1247
"392";"1520";"75 og eldre";1142
"393";"1525";"0-15";636
"394";"1525";"16-24";448
"395";"1525";"25-34";476
"396";"1525";"35-44";570
"397";"1525";"45-54";579
"398";"1525";"55-64";591
"399";"1525";"65-74";485
"400";"1525";"75 og eldre";563
"401";"1528";"0-15";1323
"402";"1528";"16-24";836
"403";"1528";"25-34";726
"404";"1528";"35-44";956
"405";"1528";"45-54";1041
"406";"1528";"55-64";1015
"407";"1528";"65-74";912
"408";"1528";"75 og eldre";808
"409";"1531";"0-15";2082
"410";"1531";"16-24";1039
"411";"1531";"25-34";1187
"412";"1531";"35-44";1427
"413";"1531";"45-54";1286
"414";"1531";"55-64";981
"415";"1531";"65-74";924
"416";"1531";"75 og eldre";794
"417";"1532";"0-15";1859
"418";"1532";"16-24";968
"419";"1532";"25-34";999
"420";"1532";"35-44";1198
"421";"1532";"45-54";1117
"422";"1532";"55-64";968
"423";"1532";"65-74";868
"424";"1532";"75 og eldre";714
"425";"1535";"0-15";1191
"426";"1535";"16-24";727
"427";"1535";"25-34";788
"428";"1535";"35-44";830
"429";"1535";"45-54";929
"430";"1535";"55-64";989
"431";"1535";"65-74";955
"432";"1535";"75 og eldre";738
"433";"1539";"0-15";1346
"434";"1539";"16-24";680
"435";"1539";"25-34";835
"436";"1539";"35-44";866
"437";"1539";"45-54";917
"438";"1539";"55-64";959
"439";"1539";"65-74";865
"440";"1539";"75 og eldre";831
"441";"1547";"0-15";696
"442";"1547";"16-24";437
"443";"1547";"25-34";418
"444";"1547";"35-44";491
"445";"1547";"45-54";466
"446";"1547";"55-64";404
"447";"1547";"65-74";377
"448";"1547";"75 og eldre";389
"449";"1554";"0-15";1006
"450";"1554";"16-24";622
"451";"1554";"25-34";629
"452";"1554";"35-44";705
"453";"1554";"45-54";813
"454";"1554";"55-64";801
"455";"1554";"65-74";769
"456";"1554";"75 og eldre";610
"457";"1557";"0-15";450
"458";"1557";"16-24";334
"459";"1557";"25-34";266
"460";"1557";"35-44";328
"461";"1557";"45-54";332
"462";"1557";"55-64";336
"463";"1557";"65-74";354
"464";"1557";"75 og eldre";300
"465";"1560";"0-15";480
"466";"1560";"16-24";296
"467";"1560";"25-34";283
"468";"1560";"35-44";328
"469";"1560";"45-54";420
"470";"1560";"55-64";435
"471";"1560";"65-74";402
"472";"1560";"75 og eldre";397
"473";"1563";"0-15";1177
"474";"1563";"16-24";773
"475";"1563";"25-34";834
"476";"1563";"35-44";808
"477";"1563";"45-54";877
"478";"1563";"55-64";1062
"479";"1563";"65-74";927
"480";"1563";"75 og eldre";769
"481";"1566";"0-15";994
"482";"1566";"16-24";588
"483";"1566";"25-34";666
"484";"1566";"35-44";610
"485";"1566";"45-54";749
"486";"1566";"55-64";838
"487";"1566";"65-74";783
"488";"1566";"75 og eldre";725
"489";"1573";"0-15";337
"490";"1573";"16-24";188
"491";"1573";"25-34";253
"492";"1573";"35-44";217
"493";"1573";"45-54";275
"494";"1573";"55-64";308
"495";"1573";"65-74";320
"496";"1573";"75 og eldre";261
"497";"1576";"0-15";501
